"start";"end";"Name_of_Restaurant";"Idly_Two";"Masala_Dosa";"Vada";"Is_Coffee";"Regular_Coffee";"Mini_Coffee";"AC";"Type_of_Restaurant";"Type_of_Restaurant/standing_sitting_outside";"Type_of_Restaurant/standing_sitting_inside";"Type_of_Restaurant/standing_sitting_roadside";"Any_comments";"Location";"_Location_latitude";"_Location_longitude";"_Location_altitude";"_Location_precision";"Name_of_Restaurant_";"Idly_Two_";"Masala_Dosa_";"Vada_";"Regular_Coffee_";"integer_uo9tx20";"AC_";"Type_of_Restaurant_";"Type_of_Restaurant_/standing_sitting_outside";"Type_of_Restaurant_/standing_sitting_inside";"Type_of_Restaurant_/standing_sitting_roadside";"Any_comments_";"Location_";"_Location__latitude";"_Location__longitude";"_Location__altitude";"_Location__precision";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"_tags";"_index"
"2022-05-26 07:00:00.247000+05:30";"2022-05-26 07:01:51.391000+05:30";"";"50";"50";"25";"regular";"12";"";"no";"standing_sitting_inside";"0";"1";"0";"";"12.834402 77.694378 0 0";"12.834402";"77.694378";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"159196131";"15435e6e-4334-440d-92cd-734f9b2671d7";"2022-05-26 01:40:45";"validation_status_approved";"";"submitted_via_web";"";"";"1"
"2022-05-29 16:03:33.037000+05:30";"2022-05-29 16:06:00.503000+05:30";"Sagar Fast Food";"30";"50";"30";"mini";"";"13";"no";"standing_sitting_inside";"0";"1";"0";"";"12.9306728 77.6228462 805.0 4.857";"12.9306728";"77.6228462";"805.0";"4.857";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"159801210";"20df46da-637a-47ae-8f57-de4ac38e30dc";"2022-05-29 14:43:06";"validation_status_approved";"";"submitted_via_web";"thejeshgn";"";"2"
